Text-Link,Text-Category,Deepseek:32b,Named entity recognition,Ground truth,Named Entities,
https://timesofmalta.com/article/architecture-faculty-finds-lastminute-solution-avoid-teaching-tents.1097847 , Education and Research ,Male: 1 Female: 0 Unknown: 0,Male: 1 Female: 0 Unknown: 0,Male: 1 Female: 0 Unknown: 0, Marc Bonello,
https://timesofmalta.com/article/government-considering-extending-free-childcare-nighttime.1096225 , Education and Research ,Male: 1 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 0,Male: 1 Female: 0 Unknown: 0, spokesperson - M,
https://timesofmalta.com/article/mcast-principal-confirms-contract-renewed-amid-reports-sacking.1094266 , Education and Research ,Male: 4 Female: 0 Unknown: 2,Male: 4 Female: 0 Unknown: 1,Male: 4 Female: 0 Unknown: 2, Joachim James Calleja - M MCAST representative - U Education Ministry spokesperson - U Robert Abela - M Clifton Grima - M Justin Schembri - M,
https://timesofmalta.com/article/university-seeks-stop-dangerous-fuel-station-operating-land-owns.1095999 , Education and Research ,Male: 4 Female: 0 Unknown: 0,Male: 2 Female: 0 Unknown: 3,Male: 3 Female: 0 Unknown: 0, Vella - M Carlos Bugeja - M Jurgen Micallef - M,
https://timesofmalta.com/article/noneu-workers-applying-tourism-skills-pass-not-standard-its-boss.1096249 , Economy and Trade ,Male: 1 Female: 1 Unknown: 0,Male: 2 Female: 0 Unknown: 0,Male: 1 Female: 1 Unknown: 0, Pierre Fenech - M Emplyer - F,
https://timesofmalta.com/article/july-tourist-arrivals-grow-185-40-less-24-years-old.1097974 , Economy and Trade ,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 0, N/A,
https://timesofmalta.com/article/tourism-skills-pass-tests-seeing-50-failure-rate.1098454 , Economy and Trade ,Male: 1 Female: 0 Unknown: 0,Male: 1 Female: 0 Unknown: 0,Male: 1 Female: 0 Unknown: 0, Pierre Fenech - M,
https://timesofmalta.com/article/malta-planning-regulate-airbnb-rentals-what-places-done.1101160 , Economy and Trade ,Male: 0 Female: 0 Unknown: 1,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 1, Marseilles mayor - U,
https://timesofmalta.com/article/skills-pass-tax-credit-employers-want-retain-noneu-workers.1093166 , Economy and Trade ,Male: 0 Female: 0 Unknown: 0,Male: 1 Female: 1 Unknown: 0,Male: 0 Female: 0 Unknown: 0,N/A,
https://timesofmalta.com/article/gozo-tourism-operators-saw-drop-revenue-first-half-year.1096125 , Economy and Trade ,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 0, N/A,
https://timesofmalta.com/article/charmaine-gauci-confirms-no-evidence-back-dog-cat-butcher-rumours.1094321 , Economy and Trade ,Male: 0 Female: 1 Unknown: 1,Male: 0 Female: 1 Unknown: 1,Male: 0 Female: 1 Unknown: 1, Charmaine Gauci - F butcher - U,
https://timesofmalta.com/article/mandatory-unionisation-well-before-election.1098766 , Economy and Trade ,Male: 1 Female: 0 Unknown: 0,Male: 3 Female: 0 Unknown: 0,Male: 1 Female: 0 Unknown: 0, Andy Ellul - M,
https://timesofmalta.com/article/marriott-upgrades-resort-spa-40m-investment.1092763 , Economy and Trade ,Male: 2 Female: 0 Unknown: 1,Male: 2 Female: 0 Unknown: 3,Male: 3 Female: 0 Unknown: 0, Robert Abela - M David Marriott - M Alex Incorvaja - M,
https://timesofmalta.com/article/new-airbnb-rules-affect-threequarters-malta-licenced-holiday-homes.1101286 , Economy and Trade ,Male: 2 Female: 0 Unknown: 0,Male: 2 Female: 0 Unknown: 3,Male: 2 Female: 0 Unknown: 0, Carlo Micallef - M Robert Abela - M,
https://timesofmalta.com/article/watch-this-crazy-we-cannot-continue-building-hotels-mhra-president.1096233 , Economy and Trade ,Male: 3 Female: 0 Unknown: 0,Male: 3 Female: 0 Unknown: 0,Male: 2 Female: 0 Unknown: 0, Tony Zahra - M Byron Camilleri - M,
https://timesofmalta.com/article/tourists-left-without-door-lock-sliema-hotel-room.1096981 , Economy and Trade ,Male: 3 Female: 1 Unknown: 1,Male: 1 Female: 0 Unknown: 0,Male: 2 Female: 1 Unknown: 2, Alan Brooks - M partner - U hotel manager - M Spokesperson - U sister - F,
https://timesofmalta.com/article/gozo-tourism-association-stress-sustainability-2025-budget-proposals.1097318 , Economy and Trade ,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 2,Male: 0 Female: 0 Unknown: 0, N/A,
https://timesofmalta.com/article/malta-airport-sees-new-passenger-record-may.1093825 , Economy and Trade ,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 0, N/A,
https://timesofmalta.com/article/watchbritish-tourist-thanks-receptionist-saving-life-sliema-stay.1101122 , Economy and Trade ,Male: 4 Female: 2 Unknown: 0,Male: 1 Female: 5 Unknown: 1,Male: 4 Female: 2 Unknown: 0, Ruth Burton - F John Cuschieri - M Anne - F Peter - M Alexander Burton - M Steven - M,
https://timesofmalta.com/article/jobsplus-directed-update-plans-employment-tcns-robert-abela.1095991 , Economy and Trade ,Male: 2 Female: 0 Unknown: 0,Male: 2 Female: 0 Unknown: 0,Male: 2 Female: 0 Unknown: 0, Robert Abela - M Edward Scicluna - M,
https://timesofmalta.com/article/almost-half-malta-private-holiday-rentals-operate-licence-mhra.1101103 , Economy and Trade ,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 0, N/A,
https://timesofmalta.com/article/june-tourist-arrivals-increase-192.1096371 , Economy and Trade ,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 0, N/A,
https://timesofmalta.com/article/sand-replenishment-turns-st-george-bay-murky-safe-minister-says.1094455 , Economy and Trade ,Male: 2 Female: 1 Unknown: 0,Male: 1 Female: 1 Unknown: 2,Male: 2 Female: 1 Unknown: 0, Clayton Bartolo Mario de Marco - M Rebekah Borg - F,
https://timesofmalta.com/article/putting-price-housewife.1093185 , Economy and Trade ,Male: 1 Female: 5 Unknown: 0,Male: 0 Female: 0 Unknown: 1,Male: 2 Female: 7 Unknown: 1, woman awarded 28k compensation - F housewife injured when supermarket collapsed - F husband - M children - U 46-year old housewife - F woman with 4 children - F Kirsten Cutajar Miller - F British woman - F Chinese man - M His wife - F,
https://timesofmalta.com/article/watch-excerpts-ed-sheeran-concert-malta.1094548 , Entertainment and Media ,Male: 2 Female: 1 Unknown: 0,Male: 4 Female: 0 Unknown: 0,Male: 2 Female: 1 Unknown: 0, Ed Sheeran - M Alicia Enstrom - F Callum Scott - M,
https://timesofmalta.com/article/barbie-topped-cinema-charts-malta-last-year.1094057 , Entertainment and Media ,Male: 4 Female: 2 Unknown: 0,Male: 0 Female: 1 Unknown: 1,Male: 0 Female: 0 Unknown: 0, N/A,
https://timesofmalta.com/article/watch-malta-eurovision-singer-takes-stage-first-rehearsal.1091718 , Entertainment and Media ,Male: 0 Female: 1 Unknown: 0,Male: 0 Female: 1 Unknown: 0,Male: 0 Female: 1 Unknown: 0, Sarah Bonnici - F,
https://timesofmalta.com/article/keep-friendly-let-people-speak-mind-the-man-behind-expats-malta.1097732 , Entertainment and Media ,Male: 2 Female: 0 Unknown: 4,Male: 1 Female: 0 Unknown: 1,Male: 1 Female: 0 Unknown: 5, EU national - U Tom Erik Skjønsberg - M partner - U 3 admins - U U U,
https://timesofmalta.com/article/sarah-bonnici-eurovision-performance-i-no-regrets.1092247 , Entertainment and Media ,Male: 0 Female: 3 Unknown: 1,Male: 0 Female: 4 Unknown: 0,Male: 0 Female: 3 Unknown: 0, Sarah Bonnici - F Destiny Chukunyere - F Emma Muscat -F,
https://timesofmalta.com/article/teatru-ryal-ends-22year-run-the-catholic-institute-moves-mcc.1097415 , Entertainment and Media ,Male: 2 Female: 0 Unknown: 0,Male: 2 Female: 0 Unknown: 2,Male: 2 Female: 0 Unknown: 0, Pawlu Testa - M Rodney Gauci - M,
https://timesofmalta.com/article/supporters-unite-rivals-revel-valletta-first-relegation-history.1091694 , Entertainment and Media ,Male: 3 Female: 1 Unknown: 0,Male: 4 Female: 1 Unknown: 2,Male: 3 Female: 2 Unknown: 0, Simon Galea - M Xavier Saliba - M Gilmour Peplow - M Yvette Jonathan Briffa - F Steph Spiteri - F,
https://timesofmalta.com/article/can-maltese-shows-coax-children-away-youtube.1102174 , Entertainment and Media ,Male: 5 Female: 3 Unknown: 0,Male: 4 Female: 4 Unknown: 6,Male: 5 Female: 3 Unknown: 0, Justin Farrugia - M Steven Dalli - M Marlene Gravina - F Linu Perlinu - M Keith Demicoli - M Ben Camille - M Francesca Mifsud - F Dieter Pace - M Anjelica Camilleri de Marco - F,
https://timesofmalta.com/article/mediterrane-film-festival-39m-bill-essential-attract-investment.1094696 , Entertainment and Media ,Male: 3 Female: 0 Unknown: 0,Male: 3 Female: 0 Unknown: 1,Male: 3 Female: 0 Unknown: 0, Johann Grech - M David Walliams - M Pierce Brosnan - M,
https://timesofmalta.com/article/watch-mindblowing-gladiator-ii-premieres-locally-glowing-reviews.1101097 , Entertainment and Media ,Male: 3 Female: 1 Unknown: 0,Male: 4 Female: 2 Unknown: 0,Male: 4 Female: 1 Unknown: 0, Alfred Van Malkenhorst - M Joseph Butcher - M Mark John Galea - M Shiron Murphy - F her husband - M,
https://timesofmalta.com/article/watch-ghoulishly-good-haul-trickortreaters-hit-malta.1100381 , Entertainment and Media ,Male: 5 Female: 7 Unknown: 1,Male: 6 Female: 5 Unknown: 1,Male: 5 Female: 7 Unknown: 1, mother - F Eve - F Ellie - F Emma - F Rachel Degray - F Patricia Graham - F Valerie Visanich - F Karl Galea - M Luigi - M Thomas Ellul Sullivan - M Boyan Popov - M James - M Iklin resident - M,
https://timesofmalta.com/article/wicked-composer-stephen-schwartz-perform-broadway-hits-malta.1093810 , Entertainment and Media ,Male: 1 Female: 4 Unknown: 0,Male: 9 Female: 2 Unknown: 1,Male: 2 Female: 4 Unknown: 0, Stephen Schwartz - M Ariana Grande - F Cynthia Erivo  - F Mariah Carey - F Whitney Houston - F Hans Zimmer - M,
https://timesofmalta.com/article/son-boating-hit-run-victim-says-jason-azzopardi-reopened-wounds.1092138 , Entertainment and Media ,Male: 4 Female: 1 Unknown: 0,Male: 4 Female: 0 Unknown: 0,Male: 4 Female: 1 Unknown: 0, Charles Brignone - M Romario Brignone - M Josianne Brignone - F Jason Azzopardi - M Robert Abela - M,
https://timesofmalta.com/article/morning-vibe-hosts-incredibly-sad-final-show-dropped.1096527 , Entertainment and Media ,Male: 3 Female: 1 Unknown: 0,Male: 2 Female: 0 Unknown: 1,Male: 3 Female: 1 Unknown: 0, Jonathan Abel - M JD Patrick - M Terry Farrugia - M Martina Zammit - F,
https://timesofmalta.com/article/heather-graham-among-stars-attending-mediterrane-film-festival.1094460 , Entertainment and Media ,Male: 2 Female: 2 Unknown: 0,Male: 1 Female: 4 Unknown: 0,Male: 2 Female: 2 Unknown: 0, Heather Graham - F Colin Trevorrow - M Connie Nielson - F David Walliams - M,
https://timesofmalta.com/article/mel-gibson-reportedly-working-great-siege-malta-limited-tv-series.1098646 , Entertainment and Media ,Male: 4 Female: 0 Unknown: 1,Male: 5 Female: 0 Unknown: 0,Male: 4 Female: 0 Unknown: 1, Mel Gibson - M Robert Abela - M Jim Caviezel - M Francesco De Vito - M talented writer - U,
https://timesofmalta.com/article/he-watching-big-brother-hints-malta-reality-show.1094290 , Entertainment and Media ,Male: 1 Female: 1 Unknown: 0,Male: 2 Female: 1 Unknown: 1,Male: 1 Female: 1 Unknown: 0, Matt Blxk - M Gaia Cauchi - F,
https://timesofmalta.com/article/new-ta-qali-concert-venue-told-add-emergency-exits.1096434 , Entertainment and Media ,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 0, N/A,
https://timesofmalta.com/article/artist-raymond-pitre-dies-aged-84.1101688 , Entertainment and Media ,Male: 3 Female: 0 Unknown: 0,Male: 6 Female: 0 Unknown: 0,Male: 3 Female: 0 Unknown: 0, Raymond Pitr - M Joseph Agius - M Robert Abela - M,
https://timesofmalta.com/article/big-brother-coming-maltese-tv-2025-50000-prize.1094379 , Entertainment and Media ,Male: 0 Female: 0 Unknown: 0,Male: 1 Female: 0 Unknown: 1,Male: 0 Female: 0 Unknown: 0, N/A,
https://timesofmalta.com/article/watch-im-lazy-except-sports-meet-malta-athletes-olympics.1095985 , Sports ,Male: 3 Female: 2 Unknown: 0,Male: 5 Female: 1 Unknown: 1,Male: 3 Female: 2 Unknown: 0, Beppe Grillo - M Katryna Esposito - F Gianluca Chetcuti - M Sasha Gatt - F Kyle Micallef - M,
https://timesofmalta.com/article/malta-elusive-olympic-dream.1096439 , Sports ,Male: 2 Female: 1 Unknown: 1,Male: 5 Female: 1 Unknown: 3,Male: 4 Female: 2 Unknown: 0, William Chetcuti - M Peter Bonello - M Julien Alfred - F Mario Bonello - M George Micallef - M Tanya Blake - F,
https://timesofmalta.com/article/i-person-i-challenges-i-faced.1097353 , Sports ,Male: 1 Female: 1 Unknown: 0,Male: 1 Female: 2 Unknown: 0,Male: 1 Female: 1 Unknown: 0, Maja Theuma - F Antonio Flores - M,
https://timesofmalta.com/article/works-35m-cycle-network-begin-coming-months.1101360 , Sports ,Male: 1 Female: 0 Unknown: 1,Male: 1 Female: 0 Unknown: 0,Male: 1 Female: 0 Unknown: 1, spokesperson -U Aaron Farrugia - M,
https://timesofmalta.com/article/cyclist-seriously-injured-crash-parked-car.1097475 , Sports ,Male: 0 Female: 1 Unknown: 1,Male: 0 Female: 1 Unknown: 0,Male: 0 Female: 1 Unknown: 0, 61-year old cyclist - F,
https://timesofmalta.com/article/qala-saints-fc-two-players-charged-match-fixing.1093974 , Sports ,Male: 3 Female: 0 Unknown: 1,Male: 4 Female: 0 Unknown: 1,Male: 3 Female: 0 Unknown: 1, Manuel Xerri - M Leonard Camilleri - M Herman Mula - M Nadur Youngsters player - U,
https://timesofmalta.com/article/shooters-escorted-off-km-malta-flight-pilot-rejects-airguns-hold.1092744 , Sports ,Male: 2 Female: 0 Unknown: 3,Male: 0 Female: 0 Unknown: 0,Male: 2 Female: 0 Unknown: 3, Natal Falzon - M pilot - M three other shooters - U U U,
https://timesofmalta.com/article/hamrun-spartans-win-premier-league-title-crush-rivals-floriana-50.1091654 , Sports ,Male: 5 Female: 0 Unknown: 1,Male: 5 Female: 1 Unknown: 0,Male: 6 Female: 0 Unknown: 0, Seth Paintsil - M Ryan Camenzulis - M Luke Montebello - M Jonny - M Luciano Zauri - M Elionay - M,
https://timesofmalta.com/article/marsa-racetrack-danger-horses-say-horse-owners.1097769 , Sports ,Male: 2 Female: 0 Unknown: 1,Male: 0 Female: 0 Unknown: 2,Male: 2 Female: 0 Unknown: 1, horse owner - M another owner - U Sheikh al Makhtum - M,
https://timesofmalta.com/article/sasha-gatt-devastating-covid-diagnosis.1096127 , Sports ,Male: 3 Female: 4 Unknown: 1,Male: 1 Female: 6 Unknown: 1,Male: 3 Female: 5 Unknown: 0, Sasha Gatt - F Ching Hwenn Gan - F Kristel Kobrich - F Gianluca Chetcuti - M Katryna Esposito - F Bavuudorjiin Baasankhüü - F Kyle Micallef - M Beppe Grillo - M,
https://timesofmalta.com/article/half-way-there-neil-agius-marks-80km-160km-swim.1098414 , Sports ,Male: 3 Female: 1 Unknown: 0,Male: 5 Female: 0 Unknown: 2,Male: 3 Female: 1 Unknown: 0, Neil Agius - M Matthieu Bonne - M Robert Abela - M Roberta Metsola - F,
https://timesofmalta.com/article/maltese-buyer-pays-record-740000-french-race-horse.1097366 , Sports ,Male: 3 Female: 0 Unknown: 0,Male: 7 Female: 0 Unknown: 3,Male: 5 Female: 0 Unknown: 0, Steven Farrugia - M Christophe - M Vincent Martens - M Philippe Allaire - M Thierry Duvaldestin - M,
https://timesofmalta.com/article/neil-agius-world-record-160km-malta-gozo-comino-swim.1098414 , Sports ,Male: 3 Female: 1 Unknown: 0,Male: 5 Female: 0 Unknown: 2,Male: 3 Female: 1 Unknown: 0, Neil Agius - M Matthieu Bonne - M Robert Abela - M Roberta Metsola - F,
https://theshiftnews.com/2024/06/12/gharb-football-committee-resigns-after-mayor-leases-ground-to-rivals/ , Sports ,Male: 3 Female: 0 Unknown: 0,Male: 3 Female: 2 Unknown: 1,Male: 3 Female: 0 Unknown: 0, David Apap - M Joe Cauchi - M Francis Apap - M,
https://www.maltatoday.com.mt/news/national/131348/neil_agius_given_heros_welcome_after_gruelling_140km_swim_sets_new_world_record , Sports ,Male: 4 Female: 0 Unknown: 0,Male: 7 Female: 0 Unknown: 1,Male: 4 Female: 0 Unknown: 0, Neil Agius - M Robert Abela - M Clifton Grima - M David Agius - M,
https://www.independent.com.mt/articles/2024-09-23/local-news/Record-beaten-Neil-Agius-swims-past-his-own-world-record-distance-of-125-km-sets-target-for-160km-6736264341 , Sports ,Male: 1 Female: 0 Unknown: 0,Male: 2 Female: 0 Unknown: 0,Male: 1 Female: 0 Unknown: 0, Neil Agius - M,
https://www.maltatoday.com.mt/news/national/131035/gay_rights_movement_celebrates_20_years_from_first_walk_under_the_rainbow , Sports ,Male: 4 Female: 1 Unknown: 12,Male: 4 Female: 0 Unknown: 3,Male: 4 Female: 1 Unknown: 12, Francesca Zammit - F Johann Agius - M Alan Carville - M Adam Brimmer - M Robert Attard - M 12 people organisers/present - U,
https://www.independent.com.mt/articles/2024-09-10/local-news/Speaker-of-the-House-of-Representatives-presented-with-the-Ombudsplan-2025-6736264047 , Sports ,Male: 1 Female: 0 Unknown: 1,Male: 0 Female: 0 Unknown: 2,Male: 2 Female: 0 Unknown: 0, Joseph Zammit McKeon - M Anglu Farrugia - M,
https://www.independent.com.mt/articles/2023-08-25/local-news/Detailed-plans-to-expand-on-master-plan-for-motorsports-racetrack-in-the-pipeline-MMF-president-6736254338 , Sports ,Male: 2 Female: 0 Unknown: 0,Male: 2 Female: 0 Unknown: 1,Male: 2 Female: 0 Unknown: 0, Duncan Micallef - M Robert Abela - M,
https://www.maltatoday.com.mt/news/national/129148/mfa_insists_it_is_distinct_entity_from_malta_premier_league_after_muscat_charges , Sports ,Male: 2 Female: 0 Unknown: 0,Male: 2 Female: 0 Unknown: 0,Male: 2 Female: 0 Unknown: 1, Joseph Muscat - M spokesperson - U Kevin Deguara - M,
https://timesofmalta.com/article/maltese-researchers-unlock-space-secret-potential-cure.1094362 , Technology and Science ,Male: 5 Female: 0 Unknown: 0,Male: 5 Female: 0 Unknown: 0,Male: 5 Female: 0 Unknown: 0, Joseph Borg - M Alfred Buhagiar - M Josef Borg - M Alex Felice - M Jared Isaacman - M,
https://timesofmalta.com/article/in-pictures-malta-night-skies-illuminated-perseid-meteor-showers.1096699 , Technology and Science ,Male: 2 Female: 0 Unknown: 0,Male: 4 Female: 0 Unknown: 1,Male: 2 Female: 0 Unknown: 0, Joseph Caruana - M Daniel Cassar Alpert - M,
https://timesofmalta.com/article/war-footage-explicit-music-videos-accessible-children-school-tablets.1102474 , Technology and Science ,Male: 0 Female: 4 Unknown: 1,Male: 0 Female: 1 Unknown: 0,Male: 0 Female: 3 Unknown: 1, concerned mother - F eldest daughter - F sister - F LSE - U,
https://timesofmalta.com/article/comet-visible-malta-enters-solar-system-80000-years.1098641 , Technology and Science ,Male: 1 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 2,Male: 1 Female: 0 Unknown: 0, Alexei Pace - M,
https://timesofmalta.com/article/drop-taboos-around-ai-help-student-learn-use-it.1100457 , Technology and Science ,Male: 6 Female: 1 Unknown: 0,Male: 7 Female: 1 Unknown: 0,Male: 6 Female: 1 Unknown: 0, Dylan Seychell - M Silvio Schembri - M Mark Lawrence Zammit - M Stefano Mallia - M Jerome Caruana Cilia - M Silvan Mifsud - M Stephanie Fabri - F,
https://timesofmalta.com/article/km-malta-airlines-launches-mobile-app.1093281 , Technology and Science ,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 3,Male: 0 Female: 0 Unknown: 0, N/A,
https://timesofmalta.com/article/over-33000-people-make-science-city-weekend.1098774 , Technology and Science ,Male: 0 Female: 1 Unknown: 0,Male: 0 Female: 0 Unknown: 3,Male: 0 Female: 0 Unknown: 0, N/A,
https://timesofmalta.com/article/watch-mysterious-cloud-sky-spacex-satellites-expert.1094369 , Technology and Science ,Male: 2 Female: 0 Unknown: 0,Male: 2 Female: 0 Unknown: 2,Male: 2 Female: 0 Unknown: 0, Joseph Borg- M Elon Musk - M,
https://timesofmalta.com/article/you-now-need-eid-check-electoral-register.1098462 , Technology and Science ,Male: 1 Female: 0 Unknown: 1,Male: 1 Female: 0 Unknown: 1,Male: 1 Female: 0 Unknown: 2, spokesperson - U reader - U Jason Azzopardi - M,
https://timesofmalta.com/article/national-orchestra-sees-law-data-commissioner.1091693 , Technology and Science ,Male: 2 Female: 1 Unknown: 1,Male: 2 Female: 0 Unknown: 1,Male: 2 Female: 1 Unknown: 1, Konstantin Ishkhanov - M Alfred Camilleri - M Therese Comodini Cachia - F data protection commissioner - U,
https://timesofmalta.com/article/go-launches-volte-technology.1096433 , Technology and Science ,Male: 0 Female: 1 Unknown: 0,Male: 0 Female: 1 Unknown: 2,Male: 0 Female: 1 Unknown: 0, Alison Mercieca - F,
https://timesofmalta.com/article/watch-roberta-metsola-featured-google-year-search-2024-video.1102499 , Technology and Science ,Male: 3 Female: 4 Unknown: 0,Male: 1 Female: 6 Unknown: 2,Male: 3 Female: 4 Unknown: 0, Roberta Metsola - F Donald Trump - M Kier Starmer - M Kamala Harris - F Irene Montero - F Maggie Smith - F James Earl Jones - M,
https://timesofmalta.com/article/watch-how-nico-found-voice-aged-12-i-knew-one.1091627 , Technology and Science ,Male: 1 Female: 2 Unknown: 1,Male: 1 Female: 1 Unknown: 0,Male: 1 Female: 2 Unknown: 0, Ramona Matthews - F Nico - M Amy - F,
https://newsbook.com.mt/en/um-launches-ai-project-aimed-at-enhancing-performance-for-competitive-swimmers/ , Technology and Science ,Male: 0 Female: 1 Unknown: 0,Male: 0 Female: 1 Unknown: 0,Male: 0 Female: 1 Unknown: 0, Vanessa Camilleri - F,
https://www.maltatoday.com.mt/news/national/129191/stmicroelectronics_advances_maltas_semiconductor_sector_ , Technology and Science ,Male: 1 Female: 0 Unknown: 0,Male: 1 Female: 0 Unknown: 0,Male: 1 Female: 0 Unknown: 0, Robert Abela - M,
https://timesofmalta.com/article/today-front-pages-august-24-2024.1097183 , Technology and Science ,Male: 2 Female: 1 Unknown: 0,Male: 2 Female: 1 Unknown: 0,Male: 2 Female: 1 Unknown: 0, Robert Abela - M Ryan Spagnol - M Alicia Bugeja Said - F,
https://www.independent.com.mt/articles/2024-11-21/local-news/New-mammogram-machine-inaugurated-at-Gozo-General-Hospital-6736265931 , Technology and Science ,Male: 1 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 1,Male: 1 Female: 0 Unknown: 0, Jo Etienne Abela - M,
https://www.maltatoday.com.mt/news/national/129980/pn_to_propose_amendments_to_legal_notice_that_establishes_xjenza_malta , Technology and Science ,Male: 1 Female: 1 Unknown: 0,Male: 1 Female: 0 Unknown: 1,Male: 1 Female: 1 Unknown: 0, Claudette Buttigieg - F Ryan Callus - M,
